id;truck;shipment_start_timestamp;shipment_end_timestamp;start_location;end_location;shipment_distance;consumed_fuel
522dd69f-1edc-4ab4-ac65-81076bdfccde;988e5110-a6c3-4acd-9963-9dfcf38c373e;01/07/2022 1:00;01/07/2022 5:00;Ankara;Ankara;59;22.42
50fec96e-823b-4197-afee-5d69b9672b13;55dfad5a-a883-4bbb-9b5d-acf5866d7fae;01/07/2022 2:00;01/07/2022 6:00;Ankara;Ankara;44;14.52
c6b51447-d681-41cd-8859-1487ae88368d;df7a4f54-f150-4122-9d61-918d5aea18ce;01/07/2022 3:00;01/07/2022 7:00;Ankara;Ankara;76;25.84
52451f29-ff0d-45af-adf1-58dac3a26928;4964a9ad-dbe0-4018-b1e3-ec5466c2bd03;01/07/2022 4:00;01/07/2022 8:00;Ankara;Ankara;96;37.44
0cc7360f-8337-44dd-9027-b59c14aa0ba2;a90cae19-0846-40fe-89a0-ce07d68de873;01/07/2022 5:00;01/07/2022 9:00;Ankara;Ankara;72;28.08
b7592b5d-5b4c-45ef-abfc-bbd8035eda5c;bddebd15-8f00-4c4b-9592-7c5cff227e5c;01/07/2022 6:00;01/07/2022 10:00;Ankara;Ankara;69;20.7
06fbe708-096e-4055-ae1f-167fc3b1c4f5;f61d8a84-6904-448c-90ec-4077174f489d;01/07/2022 7:00;01/07/2022 11:00;Ankara;Ankara;79;28.44
944a6261-73b1-4f30-9d7c-822ddafc0e2a;de93aea3-13ad-454f-8b2f-2156e18022e3;01/07/2022 8:00;01/07/2022 12:00;Ankara;Ankara;69;21.39
efade13d-2f7f-46b5-881c-80702cf18134;f4da650c-6fc0-46be-90dc-66e04f9ba7df;01/07/2022 9:00;01/07/2022 13:00;Ankara;Ankara;44;14.52
2b7e9c9f-13f4-4264-a431-05394df20710;9dd04feb-f7c0-47ce-bfdc-6bbed9d51acb;01/07/2022 10:00;01/07/2022 14:00;Ankara;Ankara;84;28.56
9bcedb15-7f83-4a78-85f3-bac6f987e13d;e405d736-399a-471a-9deb-88aa8f48dfc9;01/07/2022 11:00;01/07/2022 15:00;Ankara;Ankara;78;24.18
a6e423b7-108d-476a-bf59-9609b299e832;ebb5ef95-e2ed-4819-bb7c-f06b0976bbd6;01/07/2022 12:00;01/07/2022 16:00;Ankara;Ankara;85;25.5
0e428a0c-9c5c-4671-8213-e9cc03e97fdd;efec2b64-70dd-4b79-9d84-654fe470a075;01/07/2022 13:00;01/07/2022 17:00;Ankara;Ankara;41;16.4
139a0be6-c954-485c-9ce2-e9fc078a770b;42a1fab6-466e-4bb9-be5e-78484fc45ef6;01/07/2022 14:00;01/07/2022 18:00;Ankara;Ankara;87;31.32
